endTime,artistName,trackName,msPlayed
2019-10-11 23:24,Hiatus Kaiyote,Swamp Thing,13802
2019-10-12 21:38,Instupendo,Wisp,12751
2019-10-13 15:50,Erykah Badu,Time's A Wastin,313677
2019-10-13 15:53,6ix9ine,GUMMO,157643
2019-10-13 15:57,Paramore,Still into You,216013
2019-10-13 16:00,Marian Hill,I Want You,212493
2019-10-13 16:01,Fall Out Boy,"Sugar, We're Goin Down",12731
2019-10-13 16:03,Instupendo,Six Forty Seven,119990
2019-10-13 16:05,Amy Winehouse,Moody's Mood For Love,169933
2019-10-13 16:10,Panic! At The Disco,Northern Downpour,247773
2019-10-13 16:13,The Marías,Basta Ya,176599
2019-10-13 16:14,Panic! At The Disco,London Beckoned Songs About Money Written by Machines,8853
2019-10-13 16:14,The Black Keys,Hurt Like Mine,962
2019-10-13 16:14,The Black Keys,Hurt Like Mine,4327
2019-10-13 16:14,Hiatus Kaiyote,The Lung,22216
2019-10-13 16:14,Hiatus Kaiyote,The Lung,2593
2019-10-13 16:17,Panic! At The Disco,Death of a Bachelor,203506
2019-10-13 16:22,Breakbot,All It Takes,278946
2019-10-13 16:39,The Postal Service,Such Great Heights - Remastered,266506
2019-10-13 16:42,Khalid,Young Dumb & Broke,202546
2019-10-13 16:46,Mac Miller,My Favorite Part,216000
2019-10-13 16:48,Instupendo,Beauty Unit,136647
2019-10-13 16:52,alt-J,Breezeblocks,227080
2019-10-13 16:55,CeeLo Green,Fuck You,222933
2019-10-13 16:59,Cage The Elephant,In One Ear,241320
2019-10-13 17:03,Fieh,Brain,234013
2019-10-13 17:07,Reel Big Fish,The Promise,194600
2019-10-13 17:07,Panic! At The Disco,Behind the Sea,13937
2019-10-13 17:11,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),255653
2019-10-13 17:15,Mac DeMarco,Brother,212746
2019-10-13 17:17,Mac DeMarco,Passing Out Pieces,167090
2019-10-13 17:20,potsu,upswingin,152941
2019-10-13 17:26,Jacob Collier,Close To You,330466
2019-10-13 17:29,Son Kuma,Indica,215526
