endTime,artistName,trackName,msPlayed
2020-01-20 00:18,Hiatus Kaiyote,Molasses,289480
2020-01-20 00:19,Morning Teleportation,Expanding Anyway,40732
2020-01-20 00:20,Franz Ferdinand,Take Me Out,1062
2020-01-20 00:20,Rick Astley,Never Gonna Give You Up,0
2020-01-20 00:20,Maynard Ferguson,Two For Otis,2767
2020-01-20 00:20,Tru,"Fungus (feat. K. Solar, Scott Kelley & Steve Lacy)",80561
2020-01-20 00:20,The Beatles,The Word - Remastered 2009,620
2020-01-20 00:20,Gorillaz,November Has Come,772
2020-01-20 00:20,Ween,Waving My Dick in the Wind,720
2020-01-20 00:20,Ween,Freedom of '76,0
2020-01-20 00:23,Solange,Junie,186026
2020-01-20 00:29,Greg Phillinganes,Lazy Nina,326613
2020-01-20 00:32,Stan Getz,The Girl from Ipanema (with Arthur Fiedler & Boston Pops Orchestra),233040
2020-01-20 00:33,Hiatus Kaiyote,Fingerprints,11303
2020-01-20 00:39,Man Man,Hurly / Burly,10795
2020-01-20 00:39,Butcher Brown,Sundress,351196
2020-01-20 00:39,Noname,All I Need (feat. Xavier Omär),7094
2020-01-20 00:51,Fieh,Cold Water Burning Skin,148747
2020-01-20 02:50,Anderson .Paak,King James,19680
2020-01-20 04:37,Anderson .Paak,Winners Circle,7621
2020-01-20 05:51,Anderson .Paak,Winners Circle,209237
2020-01-20 05:57,Jacob Collier,Saviour,368318
2020-01-20 06:01,Bread & Butter,Summer Blue,239900
2020-01-20 06:19,Elohim,Hallucinating,42442
2020-01-20 16:14,Raveena,Sweet Time,251433
2020-01-20 16:17,Anomalie,Crescent,194464
2020-01-20 16:20,potsu,upswingin,152941
2020-01-20 16:21,Man Man,The Ballad Of Butter Beans,63108
2020-01-20 16:21,Jamiroquai,Canned Heat,1130
2020-01-20 16:36,Mac DeMarco,Robson Girl,98461
2020-01-20 22:38,Ryan Beatty,Bruise,254645
2020-01-20 22:55,Knxwledge,OpinyunGayme,2539
2020-01-20 23:32,Ryan Beatty,Bruise,237055
2020-01-20 23:33,Knxwledge,OpinyunGayme,57639
2020-01-20 23:36,lojii,do u,199600
2020-01-20 23:39,King Gizzard & The Lizard Wizard,I'm Sleepin' In,180358
2020-01-20 23:48,Happyness,Weird Little Birthday Girl,537159
2020-01-20 23:54,Jank Setup,In Motion,327690
2020-01-20 23:58,Manwolves,These Days,239425
2020-01-21 00:01,Dijon,Violence),205500
2020-01-21 00:08,Ovall,an illusion,162680
2020-01-21 00:08,Jank Setup,In Motion,8585
2020-01-21 00:08,Dijon,Violence),8976
2020-01-21 00:08,Manwolves,These Days,3911
2020-01-21 00:08,Happyness,Weird Little Birthday Girl,12298
