endTime,artistName,trackName,msPlayed
2020-04-26 03:06,Joy Crookes,Yah / Element - Medley,149639
2020-04-26 03:09,Shoos Off,Issues,175751
2020-04-26 03:13,Big Thief,Paul,183894
2020-04-26 03:16,Good Morning,Escalator,214093
2020-04-26 03:20,Nick Dorian,Yawn,219105
2020-04-26 03:25,Oscar Jerome,Chromatic Descendants,306786
2020-04-26 03:27,Brigt,Untitled,116926
2020-04-26 03:30,Chance Thrash,Peaach Tea ft Vivian Tran,177210
2020-04-26 03:32,Bruno Major,Like Someone In Love,143888
2020-04-26 03:34,Rita Payés,A Rita,471
2020-04-26 03:34,Shoos Off,Issues,1020
2020-04-26 03:34,Dreamcast,Leo,458
2020-04-26 03:34,Yellow House,Better Views,1734
2020-04-26 03:34,Siamese Cats,GIRL AT THE BUS STOP,27470
2020-04-26 03:34,Mamerico,waltz for hulot,94990
2020-04-26 03:35,Rita Payés,A Rita,5579
2020-04-26 03:35,Shoos Off,Issues,963
2020-04-26 03:35,Shoos Off,Issues,4703
2020-04-26 03:35,extremely bad man,Saturday,2217
2020-04-26 03:35,Dreamcast,Leo,16881
2020-04-26 03:35,Yellow House,Better Views,410
2020-04-26 03:35,Yellow House,Better Views,2249
2020-04-26 03:35,Mamerico,waltz for hulot,12502
2020-04-26 03:36,Walker,It's Not (Her Eyes),2435
2020-04-26 03:36,Car Seat Headrest,"Ivy (Live at the Capitol Theater, Olympia, WA)",13032
2020-04-26 03:36,Hiatus Kaiyote,Laputa (Taylor McFerrin Remix feat. Anderson .Paak),777
2020-04-26 03:36,Madison McFerrin,Fallin' - Remix,589
2020-04-26 03:36,Jay Som,Tenderness,12939
2020-04-26 03:36,Satchy,ILY,33593
2020-04-26 03:36,Part Time,It's Alright With Me,5337
2020-04-26 03:37,Video Age,Pop Therapy,10487
2020-04-26 03:48,Maurice Ravel,"Jeux d’eau, M 30",4474
2020-04-27 00:33,Jank Setup,In Motion,327690
2020-04-27 00:36,Justin Hurwitz,Planetarium,180210
2020-04-27 00:37,Paramore,Grudges,3065
2020-04-27 00:37,Paramore,Idle Worship,1114
2020-04-27 00:37,Nat King Cole,There Will Never Be Another You,1393
2020-04-27 00:41,福居良,Early Summer,41729
2020-04-27 00:41,Marian Hill,I Want You,212493
2020-04-27 00:41,WILLOW,Cycles,1207
2020-04-27 00:42,Anderson .Paak,Heart Don't Stand a Chance,1300
2020-04-27 00:42,Papa Roach,Scars,1369
2020-04-27 00:42,Gregory Porter,L-O-V-E,789
2020-04-27 00:42,Taylor Swift,Begin Again,1160
2020-04-27 00:42,Fieh,Samurai / When The Summer Is Through,882
2020-04-27 00:42,WILLOW,"Female Energy, Part 2",3552
2020-04-27 00:45,Papa Roach,Scars,208186
2020-04-27 00:47,Gregory Porter,L-O-V-E,128520
2020-04-27 00:50,The Front Bottoms,Peach,185853
2020-04-27 01:01,Daniel Caesar,Get You (feat. Kali Uchis),271084
2020-04-27 04:17,Kali Uchis,Flight 22,216982
2020-04-27 04:18,Kendrick Lamar,King Kunta,78731
2020-04-27 04:22,"Tyler, The Creator",Glitter,224893
2020-04-27 04:23,Thelonious Monk,I'm Confessin' (That I Love You),79800
2020-04-27 04:29,Khruangbin,Cómo Te Quiero,2549
2020-04-27 04:29,Maurice Ravel,"Jeux d’eau, M 30",285782
2020-04-27 04:29,Maurice Ravel,"Jeux d’eau, M 30",1124
2020-04-27 04:29,Charlotte Dos Santos,Good Sign,5978
2020-04-27 04:33,Khruangbin,Cómo Te Quiero,242536
2020-04-27 04:37,Deodato,San Juan Sunset,231620
2020-04-27 04:39,Loving,Forgot Again,120842
2020-04-27 04:42,fantompower,My Take on Solidao.,155089
2020-04-27 04:44,Mac DeMarco,Still Together,82956
2020-04-27 04:44,Banes World,Drowsy,1367
2020-04-27 04:44,Dorothy Ashby,Invitation,0
2020-04-27 04:44,Stanley Turrentine,Don't Mess With Mister T.,1161
2020-04-27 04:44,Thad Jones,To You,808
2020-04-27 04:44,Todd Oxford,Improvisation et Caprice: Improvisation,823
2020-04-27 04:44,John Coltrane,Naima,879
2020-04-27 04:44,Stanley Turrentine,The Lamp Is Low,755
2020-04-27 04:44,Bill Evans,Waltz for Debby,617
2020-04-27 04:44,The Black Keys,The Lengths,586
2020-04-27 04:48,Thad Jones,To You,255466
2020-04-27 04:51,Banes World,You Say I'm in Love,176760
2020-04-27 04:54,Banes World,Drowsy,143830
2020-04-27 04:57,The Marías,I Don't Know You,209449
2020-04-27 04:58,Archy Marshall,Ammi Ammi,33620
2020-04-27 05:14,Dreamgirl,Teenage Blue,204133
2020-04-27 05:23,The Black Keys,You're the One,936
2020-04-27 05:23,Dreamgirl,Teenage Blue,43
2020-04-27 05:23,Erroll Garner,Misty,1409
2020-04-27 05:23,John Coltrane,My One And Only Love,822
2020-04-27 05:23,NIKI,Around,951
2020-04-27 05:23,Hiatus Kaiyote,The World It Softly Lulls,0
2020-04-27 05:28,The Black Keys,You're the One,345
2020-04-27 05:28,Lone,Jaded,599
2020-04-27 05:28,John Coltrane,My One And Only Love,296666
2020-04-27 05:31,Tennyson,Lay-by,162026
2020-04-27 05:33,Modest Mouse,Sleepwalking (Couples Only Dance Prom Night),133765
2020-04-27 05:36,Bobby Caldwell,What You Won't Do for Love,11289
2020-04-27 05:36,Mac DeMarco,Let Her Go,182607
2020-04-27 05:39,Mac DeMarco,Freaking Out the Neighborhood,173888
2020-04-27 05:41,Ray Charles,I've Got a Woman - 2005 Remaster,89379
2020-04-27 05:46,Anderson .Paak,Reachin' 2 Much (feat. Lalah Hathaway),355492
2020-04-27 05:47,Hiatus Kaiyote,Molasses,45908
2020-04-27 05:47,Breakbot,Arrested,3966
2020-04-27 05:48,Fieh,So Fly,47109
2020-04-27 05:50,Kali Uchis,honey baby (SPOILED!),124651
2020-04-27 05:51,Kali Uchis,honey baby (SPOILED!),17494
2020-04-27 05:51,Hiatus Kaiyote,By Fire,28521
2020-04-27 05:51,Kali Uchis,angel,2697
2020-04-27 05:53,Kali Uchis,angel,143225
2020-04-27 05:56,Kali Uchis,i want war (BUT I NEED PEACE),159400
2020-04-27 05:58,Kali Uchis,TO FEEL ALIVE,141420
2020-04-27 06:01,King Gizzard & The Lizard Wizard,Evil Star,129953
2020-04-27 06:14,King Gizzard & The Lizard Wizard,The River - Live In Luxembourg 2019,79505
2020-04-27 16:49,King Gizzard & The Lizard Wizard,The River - Live In Luxembourg 2019,501851
2020-04-27 16:52,King Gizzard & The Lizard Wizard,Wah Wah - Live in Madrid 2019,204256
2020-04-27 16:56,King Gizzard & The Lizard Wizard,Road Train - Live in Manchester 2019,219057
2020-04-27 17:06,King Gizzard & The Lizard Wizard,Murder Of The Universe - Live in Utrecht 2019,220756
2020-04-28 02:44,Com Truise,Video Arkade,248415
2020-04-28 02:51,Kali Uchis,angel,11210
2020-04-28 02:55,Thea,Grandfather Clock,39148
2020-04-28 02:55,Toro y Moi,Omaha,196790
2020-04-28 02:56,Toro y Moi,Omaha,12756
2020-04-28 02:59,Thea,Grandfather Clock,197679
2020-04-28 03:04,Chet Baker,Everything Happens To Me,302360
2020-04-28 03:08,The Long Faces,Sum of My Cares,261500
2020-04-28 03:09,Trust Fund,a song,32498
2020-04-28 03:12,Flowervillain,Knockoff Nikes,208744
2020-04-28 03:16,Orisaka Yuta,Aibiki,239093
2020-04-28 03:21,mitsume,青い月,286166
2020-04-28 03:23,Guantanamo Bay Surf Club,Escargot Blues,124895
2020-04-28 03:43,Com Truise,Video Arkade,34020
2020-04-28 17:21,Guantanamo Bay Surf Club,Escargot Blues,916
2020-04-28 17:21,Guantanamo Bay Surf Club,Escargot Blues,115936
2020-04-28 17:21,Zoe's Shanghai,No Cure,761
2020-04-28 17:25,Zoe's Shanghai,No Cure,215288
2020-04-28 17:27,Julie London,I'm In The Mood For Love,149826
2020-04-28 17:31,Duke Ellington,The Single Petal Of A Rose - The Queen's Suite,244933
2020-04-28 17:33,Yung Bae,Your Love Has Me High,113376
2020-04-28 17:37,Mark Whalen,Oh Susan,208000
2020-04-28 17:40,Rachel Bobbitt,Forrest Gump,194433
2020-04-28 17:43,Ivy Sole,Dream Girl,169479
2020-04-28 17:47,Closebye,Drive Safe,231235
2020-04-28 17:50,The Flying Stars Of Brooklyn NY,Live On,164989
2020-04-28 17:51,Sun Ra,Tapestry from an Asteroid,75284
2020-04-28 17:53,Sweet William,Karakai,134687
2020-04-28 17:57,Richard Houghten,Moving Pictures,214864
2020-04-28 18:00,Richard Houghten,Moving Pictures,739
2020-04-28 18:00,Little Dragon,Constant Surprises,10608
2020-04-28 18:00,Jacob Mann Big Band,Baby Carrots,0
2020-04-28 18:00,Jacob Mann Big Band,Baby Carrots,481
2020-04-28 18:00,Jacob Mann Big Band,Baby Carrots,204636
2020-04-28 18:14,Little Dragon,Constant Surprises,116728
2020-04-28 21:48,Fieh,Flower,186026
2020-04-28 21:51,Catfish and the Bottlemen,Kathleen,160886
2020-04-28 21:54,Crumb,Plants,191904
2020-04-28 21:55,The Marías,Over the Moon,78520
2020-04-29 00:07,Alina Baraz,Frank,128
2020-04-29 00:10,Alina Baraz,Say You Know,11297
2020-04-29 00:10,Alina Baraz,My Whole Life,162687
2020-04-29 00:12,Alina Baraz,Morocco (feat. 6LACK),141940
2020-04-29 01:48,Alina Baraz,Frank,300804
2020-04-29 01:56,Alina Baraz,Endlessly,300574
2020-04-29 01:59,Alina Baraz,Gimme the Wheel (feat. Smino),217130
2020-04-29 02:02,Alina Baraz,Off the Grid (feat. Khalid),200303
2020-04-29 02:05,Alina Baraz,More Than Enough,140068
2020-04-29 13:31,Sunset Rollercoaster,My Jinji,83484
2020-04-29 14:14,Alina Baraz,More Than Enough,9218
2020-04-29 14:14,Shinedown,Second Chance,2391
2020-04-29 14:17,Mac DeMarco,The Stars Keep On Calling My Name,142769
2020-04-29 14:26,"Tyler, The Creator","GONE, GONE / THANK YOU",375386
2020-04-29 14:28,SALES,Chinese New Year,160000
2020-04-29 14:33,Whitney Houston,I Have Nothing,289160
2020-04-29 14:36,Ariana Grande,better off,171333
2020-04-29 14:38,Amy Winehouse,(There Is) No Greater Love,128933
2020-04-29 15:32,Erykah Badu,Time's A Wastin,218165
2020-04-29 15:33,Paramore,Rose-Colored Boy,16703
2020-04-29 15:33,One Direction,Live While We're Young,1642
2020-04-29 15:34,Michael Jackson,Rock With You,1023
2020-04-29 15:34,One Direction,Little Things,106
2020-04-29 15:34,Taylor Swift,Everything Has Changed,1834
2020-04-29 15:34,Ariana Grande,in my head,15701
2020-04-29 15:37,MisterWives,Reflections,186440
2020-04-29 15:41,My Chemical Romance,I Don't Love You,238680
2020-04-29 15:44,"Tyler, The Creator",RUNNING OUT OF TIME,177226
2020-04-29 15:47,Paramore,Forgiveness,219760
2020-04-29 15:51,Breaking Benjamin,The Diary of Jane - Single Version,200546
2020-04-29 15:51,"Tyler, The Creator",EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,14626
2020-04-29 15:54,Kali Uchis,Nuestro Planeta (feat. Reykon),202754
2020-04-29 15:55,Troye Sivan,What A Heavenly Way To Die,45275
2020-04-29 15:58,Mac DeMarco,My Kind of Woman,190845
2020-04-29 15:58,Taylor Swift,The Story Of Us,9934
2020-04-29 16:04,Cuco,Lo Que Siento,312000
2020-04-29 16:07,Taylor Swift,Mean,7560
2020-04-29 16:07,Paramore,Hard Times,182693
2020-04-29 16:10,Billie Eilish,ocean eyes,200379
2020-04-29 16:10,Justin Bieber,Somebody To Love,614
2020-04-29 16:14,Taylor Swift,Lover,221306
2020-04-29 16:31,Sunset Rollercoaster,New Drug,796
2020-04-29 16:31,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",244173
2020-04-29 16:32,Jacob Collier,Flintstones,32962
2020-04-29 17:15,Jacob Collier,All Night Long (feat. Take 6),509725
2020-04-29 17:18,"Tyler, The Creator",I THINK,212013
2020-04-29 17:21,Her's,Marcel,187571
2020-04-29 17:22,Moonchild,The List,1686
2020-04-29 17:22,Kali Uchis,angel,11955
2020-04-29 17:36,Kiefer,Golden,190791
2020-04-29 17:40,Weldon Irvine,It's Funky,277760
2020-04-29 17:46,Cage The Elephant,Ain't No Rest for the Wicked,99686
2020-04-29 17:53,System Of A Down,Sugar,53528
2020-04-29 17:54,福居良,Early Summer,58523
2020-04-29 17:58,The Tontons,Never Never,8977
2020-04-29 17:58,Raveena,Sweet Time,251433
2020-04-29 17:59,Wham!,Last Christmas,4635
2020-04-29 17:59,"Grover Washington, Jr.",Mister Magic,0
2020-04-29 17:59,Computer Magic,The End Of Time,1681
2020-04-29 17:59,Jonathan Richman,African Lady,3183
2020-04-29 18:17,Lettuce,Move On Up,54420
2020-04-29 18:19,Mac DeMarco,Still Together,219370
2020-04-29 18:23,Elohim,Hallucinating,218134
2020-04-29 18:29,Michael Jackson,Man in the Mirror,319306
2020-04-29 18:30,Pixies,Crackity Jones,84226
2020-04-29 18:34,Taylor Swift,Cornelia Street,9117
2020-04-29 18:34,Beyoncé,Crazy In Love (feat. Jay-Z),236133
2020-04-29 18:34,The Black Keys,Set You Free,1151
2020-04-29 18:38,Jason Mraz,I'm Yours,242186
2020-04-29 18:41,Man Man,Mayan Nights,161786
2020-04-29 18:45,Jimi Hendrix,One Rainy Wish,221826
2020-04-29 18:49,Ariana Grande,The Way,227026
2020-04-29 18:53,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),255653
2020-04-29 18:57,Voxtrot,Raised By Wolves,280613
2020-04-29 19:02,Panic! At The Disco,But It's Better If You Do,147085
2020-04-29 19:02,Doja Cat,Say So,10541
2020-04-29 19:07,Khruangbin,Maria También,190999
2020-04-29 19:10,The Beatles,Ticket To Ride - Remastered 2015,190120
2020-04-29 19:11,SALES,Chinese New Year,822
2020-04-29 19:11,Franz Ferdinand,Jacqueline,7543
2020-04-29 19:12,John Lennon,Hold On - Remastered 2010,110173
2020-04-29 19:16,Lawrence,Do You Want to Do Nothing with Me? - Audiotree Live Version,228650
2020-04-29 19:22,Fat Night,Honest Man,325145
2020-04-29 19:24,BOYO,Mantra,144000
2020-04-29 19:45,D'Angelo,The Root,393106
2020-04-29 19:47,The Black Keys,Countdown,158573
2020-04-29 19:53,Jimi Hendrix,"Red House - Live at The Woodstock Music & Art Fair, August 18, 1969",324346
2020-04-29 19:57,Lafayette Afro Rock Band,Ozan Kouklé - Remastered,237335
2020-04-29 20:34,Khruangbin,Cómo Te Quiero,247375
2020-04-29 20:36,"Tyler, The Creator",BEST INTEREST,127921
2020-04-29 20:39,Kali Uchis,honey baby (SPOILED!),124651
2020-04-29 20:43,Bekon,Cold as Ice,236904
2020-04-29 20:46,Jacob Mann,Bumble Buddies,11580
2020-04-29 20:46,Crumb,Vinta,181478
2020-04-29 20:57,Jacob Mann Big Band,Baby Carrots,9260
2020-04-29 21:03,Jacob Mann Big Band,Baby Carrots,204636
2020-04-29 21:04,Stanley Turrentine,"Make Me Rainbows - From the Film ""Fitzwilly""",6067
2020-04-29 21:04,Erroll Garner,Sweet And Lovely,7113
2020-04-29 21:05,Weldon Irvine,It's Funky,20973
2020-04-29 21:05,Jimi Hendrix,Bold as Love,50190
2020-04-29 21:09,Khruangbin,Shades of Man,227148
2020-04-29 21:12,Thundercat,Lava Lamp,178569
2020-04-29 21:17,The Shed,I Don't Mind,300186
2020-04-29 21:17,The White Stripes,Icky Thump,7309
2020-04-29 21:19,potsu,gazebo,141517
2020-04-29 21:24,James Carter,Avalon,278506
2020-04-29 21:36,Gesu No Kiwami Otome,シアワセ林檎,93416
2020-04-29 21:53,Kali Uchis,angel,127168
2020-04-29 21:56,Jacob Collier,Flintstones,190632
2020-04-29 21:57,Fat Night,Sun Go Down,31946
2020-04-29 22:01,Marcos Valle,Samba de Verão,225026
2020-04-29 22:04,The Black Keys,Act Nice and Gentle,18250
2020-04-29 22:04,potsu,take me there,3761
2020-04-29 22:04,Mac DeMarco,Go Easy,204901
2020-04-29 22:04,Booker T. & the M.G.'s,Green Onions,1803
2020-04-29 22:06,Maynard Ferguson,Two For Otis,935
2020-04-29 22:06,Fieh,Glu,3512
2020-04-29 22:06,Jakob Ogawa,Velvet Light,10062
2020-04-29 22:06,Solange,Binz,111226
2020-04-29 22:07,The Black Keys,If You See Me,1467
2020-04-29 22:07,Sugarloaf,Green-Eyed Lady,17850
2020-04-29 22:07,"David ""Honeyboy"" Edwards",Black Cat,2954
2020-04-29 22:07,Fieh,Doyuwanna,1891
2020-04-29 22:07,Butcher Brown,Sundress,933
2020-04-29 22:07,The Beatles,The Word - Remastered 2009,1223
2020-04-29 22:10,King Gizzard & The Lizard Wizard,Dirt,8110
2020-04-29 22:10,Jonathan Richman,Gail Loves Me,6724
2020-04-29 22:10,Kali Uchis,Coming Home - Interlude,159852
2020-04-29 22:10,Noname,All I Need (feat. Xavier Omär),6301
2020-04-29 22:34,Michael Jackson,Rock With You,145880
2020-04-30 00:03,Alina Baraz,My Whole Life,162687
2020-04-30 00:03,Little Dragon,Constant Surprises,4117
2020-04-30 00:04,Mark Whalen,Oh Susan,2098
2020-04-30 00:05,Alina Baraz,Morocco (feat. 6LACK),141940
2020-04-30 00:08,Zoe's Shanghai,No Cure,214220
2020-04-30 00:09,Alina Baraz,Frank,214926
2020-04-30 00:10,Jacob Mann Big Band,Baby Carrots,121951
2020-04-30 00:14,Alina Baraz,Endlessly,300574
2020-04-30 00:17,Alina Baraz,Gimme the Wheel (feat. Smino),217130
2020-04-30 00:21,Alina Baraz,Off the Grid (feat. Khalid),200303
2020-04-30 00:23,Alina Baraz,More Than Enough,151462
2020-04-30 00:26,Alina Baraz,Night and Morning,203311
2020-04-30 00:31,Alina Baraz,To Me,257055
2020-04-30 00:33,Alina Baraz,Memo Blue,126177
2020-04-30 00:36,Alina Baraz,Who Got Me,213012
2020-04-30 00:51,Alina Baraz,Say You Know,144070
2020-04-30 01:12,Orisaka Yuta,Aibiki,53060
2020-04-30 13:27,Panic! At The Disco,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",196653
2020-04-30 13:30,Frank Sinatra,That's Life,187040
2020-04-30 13:32,Kehlani,Be Alright,74713
2020-04-30 13:35,Jason Mraz,I Won't Give Up,240165
2020-04-30 13:39,Mariah Carey,We Belong Together,201400
2020-04-30 13:42,Francesca Battistelli,"Beautiful, Beautiful",196493
2020-04-30 13:45,Alessia Cara,Wild Things,188493
2020-04-30 13:47,Justin Hurwitz,Mia & Sebastian’s Theme,98040
2020-04-30 13:50,Kali Uchis,Tyrant (feat. Jorja Smith),204289
2020-04-30 13:55,WILLOW,IDK,258920
2020-04-30 13:58,Cage The Elephant,Take It or Leave It,207320
2020-04-30 14:02,Reba McEntire,Because Of You,225533
2020-04-30 14:06,"Tyler, The Creator",I THINK,212013
2020-04-30 14:09,Still Woozy,Goodie Bag,146390
