endTime,artistName,trackName,msPlayed
2020-07-26 06:31,Tennyson,All Yours,136412
2020-07-26 06:51,Marcos Valle,Estrelar,126316
2020-07-26 17:45,Rebelution,Outta Control,2593
2020-07-26 17:45,Mild High Club,Kokopelli,4318
2020-07-26 17:45,Bruno Mars,When I Was Your Man,212248
2020-07-26 17:48,Panic! At The Disco,I Write Sins Not Tragedies,186634
2020-07-26 17:52,Fieh,Brain,1695
2020-07-26 17:52,WILLOW,Why Don't You Cry,1509
2020-07-26 17:52,Justin Hurwitz,Planetarium,641
2020-07-26 17:52,Mac DeMarco,My Kind of Woman,1695
2020-07-26 17:52,Justin Bieber,Never Say Never,1578
2020-07-26 17:52,Panic! At The Disco,"Build God, Then We'll Talk",220720
2020-07-26 17:52,Ariana Grande,raindrops (an angel cried),1486
2020-07-26 17:56,Lady Gaga,Million Reasons,205280
2020-07-26 17:59,Panic! At The Disco,Nine in the Afternoon - Single Mix,191560
2020-07-26 18:02,George Strait,Check Yes Or No,200666
2020-07-26 18:07,Doja Cat,MOOO!,285053
2020-07-26 18:09,Sleeping With Sirens,Who Are You Now,2802
2020-07-26 18:09,Still Woozy,Lucy,142500
2020-07-26 18:10,Mac DeMarco,Goodbye Weekend,1253
2020-07-26 18:10,fantompower,My Take on Solidao.,1323
2020-07-26 18:13,"Tyler, The Creator",EARFQUAKE,190066
2020-07-26 18:17,Fergie,Big Girls Don't Cry (Personal),268120
2020-07-26 18:17,Mac DeMarco,For the First Time,3470
2020-07-26 18:20,The Frights,You Are Going to Hate This,186559
2020-07-26 18:24,Grouplove,Tongue Tied,218013
2020-07-26 18:28,Lawrence,Do You Want to Do Nothing with Me? - Audiotree Live Version,228650
2020-07-26 18:31,Bruno Mars,Finesse - Remix; feat. Cardi B,217288
2020-07-26 18:31,Hiatus Kaiyote,Lace Skull,2098
2020-07-26 18:32,Ariana Grande,pete davidson,1277
2020-07-26 18:32,Avril Lavigne,Girlfriend,3668
2020-07-26 18:32,Panic! At The Disco,Do You Know What I'm Seeing?,1811
2020-07-26 18:32,The Lumineers,Dead Sea,1230
2020-07-26 18:36,Alina Baraz,More Than Enough,3784
2020-07-26 18:36,Panic! At The Disco,But It's Better If You Do,1651
2020-07-26 18:36,"Tyler, The Creator",I THINK,1718
2020-07-26 18:36,Lady Gaga,Poker Face,237200
2020-07-26 18:36,My Chemical Romance,Cancer,3343
2020-07-26 18:36,"Tyler, The Creator",Where This Flower Blooms (feat. Frank Ocean),1787
2020-07-26 18:40,Ariana Grande,Stuck with U (with Justin Bieber),228482
2020-07-26 18:42,Kali Uchis,i want war (BUT I NEED PEACE),159400
2020-07-26 18:43,Keri Hilson,Pretty Girl Rock,6135
2020-07-26 18:46,Fieh,Glu,236618
2020-07-26 18:50,Frank Ocean,Thinkin Bout You,200746
2020-07-26 18:50,Fieh,Samurai / When The Summer Is Through,3510
2020-07-26 18:53,WILLOW,Wait a Minute!,196520
2020-07-26 18:57,Ariana Grande,Dangerous Woman,235946
2020-07-26 18:57,Alina Baraz,Take It Home,1350
2020-07-26 18:57,Crumb,So Tired,1718
2020-07-26 19:01,Daniel Caesar,Best Part (feat. H.E.R.),209831
2020-07-26 19:01,Moonchild,Hideaway,1625
2020-07-26 19:01,Taylor Swift,Mean,4314
2020-07-26 19:01,Paramore,Fake Happy,1462
2020-07-26 19:01,Beyoncé,Sorry,301
2020-07-26 19:01,Panic! At The Disco,That Green Gentleman (Things Have Changed),1393
2020-07-26 19:05,The Tontons,Never Never,1230
2020-07-26 19:05,Paramore,26,3297
2020-07-26 19:05,The Front Bottoms,Peach,0
2020-07-26 19:05,Adele,All I Ask,271800
2020-07-26 19:05,Half Cocked,Bad Reputation,1416
2020-07-26 19:05,Sleeping With Sirens,Scene One - James Dean & Audrey Hepburn,952
2020-07-26 19:08,"Tyler, The Creator",RUNNING OUT OF TIME,177226
2020-07-26 19:09,Justin Bieber,That Should Be Me,5549
2020-07-26 19:09,Francesca Battistelli,Time In Between,1137
2020-07-26 19:09,WILLOW,Overthinking IT,1114
